               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.033855,            0.044152,           0.0020547,             0.95794,             0.91954,             0.96116,             0.62446,            0.028272,            0.029241,           0.0013644,            0.007855,            0.007855,            0.007855
                  67,            0.034194,            0.044568,           0.0021222,             0.95347,              0.9196,             0.96286,             0.62212,            0.028358,            0.029381,            0.001339,            0.007822,            0.007822,            0.007822
                  68,            0.035043,            0.047089,           0.0022409,              0.9561,             0.91783,             0.96111,              0.6305,            0.028047,            0.029067,           0.0013113,            0.007789,            0.007789,            0.007789
                  69,            0.035166,            0.047008,            0.002225,             0.96009,             0.92104,             0.96349,             0.63045,            0.028057,            0.028899,           0.0013266,            0.007756,            0.007756,            0.007756
                  70,             0.03494,             0.04728,           0.0022366,             0.96397,              0.9241,             0.96633,             0.63632,            0.027743,            0.028672,           0.0012985,            0.007723,            0.007723,            0.007723
                  71,               0.035,            0.046642,           0.0022162,             0.96325,             0.92369,             0.96579,             0.64396,              0.0275,            0.028584,           0.0012756,             0.00769,             0.00769,             0.00769
                  72,            0.033329,            0.043128,           0.0020258,              0.9666,             0.92875,             0.96831,             0.64368,             0.02738,            0.028366,           0.0012901,            0.007657,            0.007657,            0.007657
                  73,             0.03279,            0.042439,           0.0019835,             0.95847,             0.93048,             0.96823,             0.64271,            0.027412,            0.028386,           0.0013049,            0.007624,            0.007624,            0.007624
                  74,            0.032689,            0.042896,           0.0019566,             0.96274,             0.93255,             0.96793,             0.64496,            0.027325,            0.028539,           0.0012779,            0.007591,            0.007591,            0.007591
                  75,            0.032979,            0.042966,           0.0020026,             0.96232,             0.93107,             0.96749,             0.64291,            0.027384,            0.028644,           0.0012866,            0.007558,            0.007558,            0.007558
                  76,            0.033163,            0.044515,           0.0020573,             0.96069,             0.92522,             0.96609,             0.64729,            0.027153,            0.028227,           0.0012595,            0.007525,            0.007525,            0.007525
                  77,            0.033449,            0.044506,           0.0020505,             0.96084,             0.93323,             0.96713,             0.64162,            0.027287,            0.028155,           0.0012735,            0.007492,            0.007492,            0.007492
                  78,            0.033518,            0.045107,           0.0020819,             0.96615,             0.92726,             0.96825,             0.64067,            0.026944,            0.028119,           0.0012502,            0.007459,            0.007459,            0.007459
                  79,            0.033303,            0.044297,           0.0020748,             0.96745,             0.93077,             0.97048,             0.65004,            0.026825,            0.027879,           0.0012191,            0.007426,            0.007426,            0.007426
                  80,            0.035352,             0.04808,           0.0023369,             0.95997,             0.93039,             0.97033,             0.65362,            0.026584,            0.028138,           0.0012079,            0.007393,            0.007393,            0.007393
                  81,            0.035211,            0.047361,           0.0023414,             0.96373,             0.93454,             0.97064,             0.65621,            0.026347,            0.027913,           0.0012077,             0.00736,             0.00736,             0.00736
                  82,            0.035095,            0.047553,           0.0023404,               0.967,             0.93397,             0.97297,             0.66463,            0.026162,            0.027671,           0.0011848,            0.007327,            0.007327,            0.007327
                  83,            0.034583,            0.047195,           0.0022601,             0.97111,             0.93338,             0.97389,              0.6697,            0.025726,            0.027359,           0.0011684,            0.007294,            0.007294,            0.007294
                  84,            0.034746,            0.047073,           0.0022845,             0.97411,              0.9312,             0.97328,              0.6713,            0.025711,            0.027185,           0.0011568,            0.007261,            0.007261,            0.007261
                  85,            0.034516,            0.047167,           0.0022021,             0.96871,             0.93862,             0.97397,             0.67075,            0.025646,            0.027074,           0.0011492,            0.007228,            0.007228,            0.007228
                  86,            0.034638,             0.04713,           0.0022693,             0.97134,             0.93619,             0.97482,             0.67754,            0.025437,            0.027071,           0.0011564,            0.007195,            0.007195,            0.007195
                  87,            0.034122,            0.046305,           0.0022326,              0.9713,             0.93739,             0.97492,             0.67943,            0.025211,            0.026878,           0.0011455,            0.007162,            0.007162,            0.007162
                  88,            0.034298,            0.046806,           0.0021761,             0.96902,              0.9426,             0.97625,             0.68521,            0.025074,            0.026747,           0.0011396,            0.007129,            0.007129,            0.007129
